title,category,tags,cookTime,ingredients,instructions,notes,rating
Pan Roasted Bavette with Pan Jus,Meals - Lunch/Dinner,,,"1 1/2 pounds bavette or flank steak
2 tablespoons vegetable oil
Sea salt and freshly ground black pepper
1 tablespoon minced fresh thyme, plus 3 sprigs
3 tablespoons unsalted butter, divided
2 large shallots, minced
1 cup dry red wine
1/2 cup low-sodium beef broth","1. Allow steak to sit at room temperature for 30 minutes before cooking. Preheat the oven to 450°F.
2. To prepare the steak: To a large skillet set over medium-high heat, add oil. While the skillet is heating, season the steak generously with salt, pepper, and minced thyme. When oil is shimmering, carefully place steak into the skillet and sear until
browned on both sides, about 3 minutes per side. Transfer to the oven. Remove the steaks when medium-rare (125° to 130°F on instant-read thermometer).
3. Transfer steak to a cutting board with a well and loosely tent with foil to keep warm.
4. To prepare the sauce: Return skillet to stove over medium heat and add 2 tablespoons butter. When butter is melted and foam subsides, add shallots and cook, stirring occasionally, until browned, about 3 minutes. If shallots become dry during cooking, add water as needed, 1 tablespoon at a time. Using a wooden spoon, stir in the wine and broth, using the spoon to loosen any browned bits on the bottom of the pan. Add the thyme sprigs and increase heat to medium-high, bring to a boil. Once boiling, reduce the heat to medium and continue to simmer until the sauce is reduced to about 1/2 cup, about 8 minutes. Remove the skillet from the heat and remove the thyme sprigs, whisk in the remaining 1 tablespoon butter, taste and adjust seasoning with salt and pepper.
6. To serve: Cut steak against the grain into slices, transfer to warmed dinner plates, place a spoonful of red wine sauce atop of the steak, and serve immediately."," The goal of a pan sauce is to capture the savory cooked-on juices left in the pan, which you do by deglazing, or dissolving with a liquid. Once you have mastered this technique, you will have fun improvising with various ingredients and flavorings. Sur la Table Recipe",
Patty Melt,Meals - Lunch/Dinner,,,"Secret Sauce (double this next time)
¼ cup mayonnaise
2 tablespoons ketchup
1 tablespoon dijon mustard
1 teaspoon pickle juice
¼ teaspoon paprika
¼ teaspoon garlic powder
Patty Melts
2 tablespoons olive oil
2 large onions thin sliced
12 ounces 85/15 ground beef
½ teaspoon salt
½ teaspoon pepper
1 teaspoon worcestershire sauce
8 slices rye bread
3 tablespoons unsalted butter
4 swiss cheese slices
4 cheddar cheese slices","In a skillet over medium-low heat, add olive oil. When warm, add onions to pan and cook until softened and deep golden brown, about 25-30 minutes. (If onions begin to dry out or look like they're going to burn, add a splash of water to the pan and reduce the heat slightly.) Remove from heat and set aside.
In a bowl, add ground beef, salt, pepper, and worcestershire sauce. Mix to combine and form into four thin, oblong patties (shape patties to match the shape of your bread). In a skillet over medium heat, add patties and cook until browned on both sides. Remove from heat and set aside. Wipe out any excess grease from the pan.
Butter one side of each piece of bread. In a skillet over medium heat, layer your sandwiches as so: one slice of bread (buttered side down), one slice of swiss cheese, beef patty, caramelized onions, secret sauce, slice of cheddar cheese, and one slice of bread (buttered side up). Cook until golden brown on the bottom, flip, and cook until golden brown on the opposite side (this should take 1-2 minutes per side).", Make more sauce!!,
Pizza Bombs,Meals - Lunch/Dinner,,,"Hawaiian Rolls
Shredded Mozzarella Cheese
Italian seasoning
Mini Pepperonis (or Meatballs)
Pizza Sauce
Garlic Butter","Preheat oven to 350˚F
Make holes in ya rolls
Add pizza sauce, pepperonis and top with butter, cheese, italian seasoning
Cook until cheese is melted",,
Pizza Cone ;),Meals - Lunch/Dinner,,,"1 can (11 oz) Pillsbury Thin Crust Pizza Crust
15 oz pizza sauce
1 cup shredded pizza cheese (mozzarella and cheddar)
1 cup vegetables of your choice (such as mushrooms, olives, green pepper, etc.)
1 cup assorted meats (meats such as bacon, mini pepperoni, Canadian bacon, etc.)","Preheat oven to 400˚F
Roll out dough, cut into squares, make cones (pizza cones that is not for ouid)
Cook for about 8 minutes
Fill with toppings and whatnot
Cook again to get it crispy, hot, and melt the cheese
Kiss the chef (it’s the best way to compliment him)", Obviously the first recipe had to be this. Like come on.,
Prosciutto Sandwich,Meals - Lunch/Dinner,,,"Sandwich bread. Like baguette type beat
Garlic Butter
Burrata or mozzarella
Sliced tomato
Arugula
Balsamic vinegar
Olive oil
Salt and pepper
Prosciutto","Spread garlic butter on bread and broil for a few minutes to toast
Spread another layer of garlic aioli and add choice of cheese
Add tomato slices and season w s+p
Toss arugula w vinegar and olive oil and add
Stuff that shit w prosciutto and enjoy", Our nighttime routine usually consists of watching TikToks before we fall asleep. On 10/19/21 we were laying in your bed and scrolled past this recipe. You said it looked fucking dank so I told you to send it to me. You probably think it’s pointless to send me these TikToks since I don’t make a lot of these recipes but you don’t even know I’m making this for you!,
Pulled Pork Mac & Cheese Sliders,Meals - Lunch/Dinner,,,"1 pack of slider buns (like hawaiian rolls)
3 cups pulled pork
2 cups Mac & Cheese
1 cup chopped bacon
BBQ sauce
Butter to brush on top","Preheat oven to 350°F
Mix together some BBQ sauce and pulled pork and place on buns
Put the Mac & Cheese on top and put the top of the buns on
Brush with butter and cook for 20 minutes", Honestly after writing this down I think we could sub the pulled pork for shredded chicken and buffalo sauce. There are a lot of buffalo chicken recipes in here already tho lmao,
Ratatouille,Meals - Lunch/Dinner,,,"VEGGIES
2 eggplants
6 roma tomatoes
2 yellow squashes
2 zucchinis
SAUCE
2 tablespoons olive oil
1 onion, diced
4 cloves garlic, minced
1 red bell pepper, diced
1 yellow bell pepper, diced
Salt and pepper
28 oz can of crushed tomatoes
2 tablespoons chopped fresh basil, from 8-10 leaves
HERB SEASONING
2 tablespoons chopped fresh basil, from 8-10 leaves
1 teaspoon garlic, minced
2 tablespoons chopped fresh parsley
2 teaspoons fresh thyme
Salt and pepper
4 tablespoons olive oil","Preheat the oven for 375˚F
Slice the eggplant, tomatoes, squash, and zucchini so they’re SKINNNYYYY
Make the sauce: Heat the olive oil in a 12-inch oven-safe pan over medium-high heat.
Sauté the onion, garlic, and bell peppers until soft, about 10 minutes.
Add salt and pepper, then add the crushed tomatoes and stir
Remove from heat, add the basil, stir, smooth the surface of the sauce with a spatula.
Arrange the sliced veggies in alternating patterns, (for example, eggplant, tomato, squash, zucchini) on top of the sauce from the outer edge to the middle of the pan. Season with salt and pepper.
Make the herb seasoning: In a small bowl, mix together the basil, garlic, parsley, thyme, salt, pepper, and olive oil. Spoon the herb seasoning over the vegetables.
Cover the pan with foil and bake for 40 minutes. Uncover, then bake for another 20 minutes, until the vegetables are softened.", Honestly I've always wanted to make this and I think it would be so fun if we did. Make sure to take Tums before though because this has tomatoes :/,
Stuffed Crust Pizza,Meals - Lunch/Dinner,,,"1 cup self rising flour
Or 1 cup AP flour
¼ tsp salt
1.5 tsp baking powder
½ cup greek yogurt
3 string cheeses
Tomato sauce
Pepperoni
cheese","Mix yogurt flour
Bake at 400 for 20-25 minutes",,
Teriyaki Chicken,Meals - Lunch/Dinner,,,"1 cup water
½ cup soy sauce
2 tbsp mirin
½ tbsp honey
¼ cup brown sugar
½ tsp ginger
2 tbsp cornstarch
1 lb chicken
2 tbsp cooking oil
Scallions
Toasted white sesame seeds","Stir together water, soy sauce, mirin, honey, brown sugar, ginger, cornstarch
Marinate chicken with 2 tbsp of sauce for 15 min
Heat sauce until it boils and stir constantly till it thickens then remove from heat
Cook the chicken somehow and mix with the sauce and rice",,
TikTok Ramen (that we make all the time),Meals - Lunch/Dinner,,,"Pack of ramen
1 tbsp of butter
Spoonful of soy sauce
Spoonful of minced garlic
¼ cup of brown sugar
Red pepper flakes (but not too much!)
Cooked chicken for protein
Maybe a soft boiled egg bc its good
Everything Bagel Seasoning will make ya pu$$y throb if ya add it","Cook da ramen
Melt butter in the pan before adding other ingredients
Add the other stuff
Pour on da ramen
Enjoy :)", God we make this a lot. Not complaining bc its easy and good tho.,
Tuscan Chicken,Meals - Lunch/Dinner,,,"1 ½ pounds (700 grams) chicken breasts halved horizontally to make 4 fillets (I use 2 large breasts -- 12 oz or 350 grams each)
1 tsp salt
¾ tsp black pepper
1 ½ tsp paprika
1 ½ tsp onion powder
3 tbsp reserved sun dried tomato oil or olive oil, divided
For The Sauce:
2 tbsp minced garlic (6 cloves)
5 oz/150g jarred sun dried tomato strips in oil drained (reserve 3 tablespoons of oil for cooking)
1 tsp Dijon mustard
1 ½ cups heavy or thickened cream (or evaporated milk for lower calorie/fat)
3 cups spinach
½ cup fresh grated Parmesan cheese","Season chicken with salt, pepper, paprika and onion powder.
Heat 2 tablespoons of the reserved sun dried tomato oil in a large skillet over medium-high heat. Sear the chicken for 6-8 minutes each side, or until golden and cooked through (work in batches if your pan isn't large enough). Transfer to a warm plate; set aside.
Add the remaining oil into the pan and fry the garlic until fragrant (about 30 seconds to 1 minute), then add in the sun dried tomatoes. Fry for 1-2 minutes to release their flavours. Mix the Dijon through all of the flavours.
Reduce heat to low-medium heat, add the cream (or evaporated milk) and bring to a gentle simmer, while stirring occasionally. Season with salt and pepper to your taste.
Add in the spinach leaves and allow to wilt in the sauce, then add in the parmesan cheese. Allow sauce to simmer for a further minute until cheese melts through the sauce.
Add the chicken back into the pan; top with parsley and serve over pasta, rice or steamed veg",,
